Year,State,District,Pre_Monsoon,Post_Monsoon
2022-23,Uttar Pradesh,Ballia,2 to 5,0 to 2
2022-23,Uttar Pradesh,Balrampur,2 to 5,0 to 2
2022-23,Uttar Pradesh,Banda,5 to 10,2 to 5
2022-23,Uttar Pradesh,Barabanki,2 to 5,0 to 2
2022-23,Uttar Pradesh,Bareilly,5 to 10,2 to 5
2022-23,Uttar Pradesh,Basti,2 to 5,0 to 2
2022-23,Uttar Pradesh,Bhadohi,N.A.,N.A.
2022-23,Uttar Pradesh,Bijnor,10 to 20,5 to 10
2022-23,Uttar Pradesh,Budaun,10 to 20,10 to 20
2022-23,Uttar Pradesh,Bulandshahr,10 to 20,5 to 10
2022-23,Uttar Pradesh,Chandauli,5 to 10,0 to 2
2022-23,Uttar Pradesh,Chitrakoot,10 to 20,10 to 20
2022-23,Uttar Pradesh,Deoria,2 to 5,0 to 2
2022-23,Uttar Pradesh,Etah,10 to 20,10 to 20
2022-23,Uttar Pradesh,Etawah,5 to 10,20 to 40
2022-23,Uttar Pradesh,Faizabad,5 to 10,2 to 5
2022-23,Uttar Pradesh,Farrukhabad,10 to 20,10 to 20
2022-23,Uttar Pradesh,Fatehpur,5 to 10,10 to 20
2022-23,Uttar Pradesh,Firozabad,10 to 20,10 to 20
2022-23,Uttar Pradesh,Gautam Buddha Nagar,20 to 40,20 to 40
2022-23,Uttar Pradesh,Ghaziabad,5 to 10,5 to 10
2022-23,Uttar Pradesh,Ghazipur,5 to 10,0 to 2
2022-23,Uttar Pradesh,Gonda,2 to 5,0 to 2
2022-23,Uttar Pradesh,Gorakhpur,2 to 5,2 to 5
2022-23,Uttar Pradesh,Hamirpur,5 to 10,2 to 5
2022-23,Uttar Pradesh,Hapur,N.A.,N.A.
2022-23,Uttar Pradesh,Hardoi,2 to 5,2 to 5
2022-23,Uttar Pradesh,Hathras,10 to 20,5 to 10
2022-23,Uttar Pradesh,Jalaun,5 to 10,5 to 10
2022-23,Uttar Pradesh,Jaunpur,5 to 10,0 to 2
2022-23,Uttar Pradesh,Jhansi,5 to 10,5 to 10
2022-23,Uttar Pradesh,Kannauj,20 to 40,20 to 40
2022-23,Uttar Pradesh,Kanpur Dehat,5 to 10,2 to 5
2022-23,Uttar Pradesh,Kanpur Nagar,2 to 5,5 to 10
2022-23,Uttar Pradesh,Kasganj,N.A.,N.A.
2022-23,Uttar Pradesh,Kaushambi,10 to 20,10 to 20
2022-23,Uttar Pradesh,Kushinagar,2 to 5,0 to 2
2022-23,Uttar Pradesh,Lakhimpur Kheri,2 to 5,2 to 5
2022-23,Uttar Pradesh,Lalitpur,2 to 5,5 to 10
2022-23,Uttar Pradesh,Lucknow,10 to 20,10 to 20
2022-23,Uttar Pradesh,Maharajganj,2 to 5,2 to 5
2022-23,Uttar Pradesh,Mahoba,5 to 10,5 to 10
2022-23,Uttar Pradesh,Mainpuri,5 to 10,5 to 10
2022-23,Uttar Pradesh,Mathura,2 to 5,2 to 5
2022-23,Uttar Pradesh,Mau,2 to 5,0 to 2
2022-23,Uttar Pradesh,Meerut,5 to 10,5 to 10
2022-23,Uttar Pradesh,Mirzapur,2 to 5,2 to 5
2022-23,Uttar Pradesh,Moradabad,10 to 20,10 to 20
2022-23,Uttar Pradesh,Muzaffarnagar,10 to 20,10 to 20
2022-23,Uttar Pradesh,Pilibhit,2 to 5,2 to 5
2022-23,Uttar Pradesh,Pratapgarh,5 to 10,2 to 5
2022-23,Uttar Pradesh,Rae Bareli,5 to 10,0 to 2
2022-23,Uttar Pradesh,Rampur,5 to 10,2 to 5
2022-23,Uttar Pradesh,Saharanpur,5 to 10,5 to 10
2022-23,Uttar Pradesh,Sambhal,N.A.,N.A.
2022-23,Uttar Pradesh,Sant Kabir Nagar,2 to 5,0 to 2
2022-23,Uttar Pradesh,Sant Ravidas Nagar,5 to 10,2 to 5
2022-23,Uttar Pradesh,Shahjahanpur,N.A.,5 to 10
2022-23,Uttar Pradesh,Shamli,N.A.,N.A.
2022-23,Uttar Pradesh,Shravasti,2 to 5,0 to 2
2022-23,Uttar Pradesh,Siddharth Nagar,2 to 5,0 to 2
2022-23,Uttar Pradesh,Sitapur,2 to 5,2 to 5
2022-23,Uttar Pradesh,Sonbhadra,5 to 10,2 to 5
2022-23,Uttar Pradesh,Sultanpur,5 to 10,0 to 2
2022-23,Uttar Pradesh,Unnao,2 to 5,0 to 2
2022-23,Uttar Pradesh,Varanasi,10 to 20,5 to 10
2022-23,Uttarakhand,Almora,N.A.,N.A.
2022-23,Uttarakhand,Bageshwar,N.A.,N.A.
2022-23,Uttarakhand,Chamoli,N.A.,N.A.
2022-23,Uttarakhand,Champawat,10 to 20,5 to 10
2022-23,Uttarakhand,Dehradun,20 to 40,20 to 40
2022-23,Uttarakhand,Haridwar,5 to 10,2 to 5
2022-23,Uttarakhand,Nainital,20 to 40,20 to 40
2022-23,Uttarakhand,Pauri Garhwal,20 to 40,20 to 40
2022-23,Uttarakhand,Pithoragarh,N.A.,N.A.
2022-23,Uttarakhand,Rudraprayag,N.A.,N.A.
2022-23,Uttarakhand,Tehri Garhwal,N.A.,N.A.
2022-23,Uttarakhand,Udham Singh Nagar,2 to 5,2 to 5
2022-23,Uttarakhand,Uttarkashi,20 to 40,20 to 40
2022-23,West Bengal,Alipurduar,2 to 5,2 to 5
2022-23,West Bengal,Bankura,2 to 5,2 to 5
2022-23,West Bengal,Bardhaman,20 to 40,N.A.
2022-23,West Bengal,Birbhum,5 to 10,2 to 5
2022-23,West Bengal,Cooch Behar,2 to 5,2 to 5
2022-23,West Bengal,Dakshin Dinajpur,5 to 10,2 to 5
2022-23,West Bengal,Darjeeling,2 to 5,2 to 5
2022-23,West Bengal,Hooghly,10 to 20,10 to 20
2022-23,West Bengal,Howrah,0 to 2,0 to 2
2022-23,West Bengal,Jalpaiguri,2 to 5,2 to 5
2022-23,West Bengal,Jhargram,5 to 10,2 to 5
2022-23,West Bengal,Malda,2 to 5,2 to 5
2022-23,West Bengal,Murshidabad,2 to 5,20 to 40
2022-23,West Bengal,Nadia,2 to 5,5 to 10
2022-23,West Bengal,North 24 Parganas,5 to 10,5 to 10
2022-23,West Bengal,Paschim Bardhaman,2 to 5,0 to 2
2022-23,West Bengal,Paschim Medinipur,10 to 20,5 to 10
2022-23,West Bengal,Purba Bardhaman,5 to 10,5 to 10
2022-23,West Bengal,Purba Medinipur,10 to 20,10 to 20
2022-23,West Bengal,Purulia,5 to 10,2 to 5
2022-23,West Bengal,South 24 Parganas,10 to 20,10 to 20
2022-23,West Bengal,Uttar Dinajpur,5 to 10,2 to 5
