Year,State,District,Post_Monsoon,Pre_Monsoon
2020-21,Andaman and Nicobar Islands,Havelock Island,0 to 2,0 to 2
2020-21,Andaman and Nicobar Islands,Long Island,0 to 2,2 to 5
2020-21,Andaman and Nicobar Islands,Middle Andaman,0 to 2,0 to 2
2020-21,Andaman and Nicobar Islands,Neil Island,2 to 5,2 to 5
2020-21,Andaman and Nicobar Islands,North Andaman,0 to 2,0 to 2
2020-21,Andaman and Nicobar Islands,Ross Island,0 to 2,0 to 2
2020-21,Andaman and Nicobar Islands,South Andaman,0 to 2,0 to 2
2020-21,Andhra Pradesh,Anantapur,5 to 10,10 to 20
2020-21,Andhra Pradesh,Chittoor,10 to 20,5 to 10
2020-21,Andhra Pradesh,East Godavari,2 to 5,5 to 10
2020-21,Andhra Pradesh,Guntur,2 to 5,2 to 5
2020-21,Andhra Pradesh,Krishna,2 to 5,5 to 10
2020-21,Andhra Pradesh,Kurnool,2 to 5,5 to 10
2020-21,Andhra Pradesh,Nellore,2 to 5,5 to 10
2020-21,Andhra Pradesh,Prakasam,5 to 10,10 to 20
2020-21,Andhra Pradesh,Srikakulam,2 to 5,0 to 2
2020-21,Andhra Pradesh,Visakhapatnam,2 to 5,5 to 10
2020-21,Andhra Pradesh,Vizianagaram,2 to 5,5 to 10
2020-21,Andhra Pradesh,West Godavari,10 to 20,10 to 20
2020-21,Andhra Pradesh,Y.S.R. (Kadapa),20 to 40,10 to 20
2020-21,Arunachal Pradesh,Anjaw,2 to 5,2 to 5
2020-21,Arunachal Pradesh,Changlang,2 to 5,2 to 5
2020-21,Arunachal Pradesh,Dibang Valley,2 to 5,2 to 5
2020-21,Arunachal Pradesh,East Kameng,0 to 2,0 to 2
2020-21,Arunachal Pradesh,East Siang,0 to 2,2 to 5
2020-21,Arunachal Pradesh,Kamle,0 to 2,5 to 10
2020-21,Arunachal Pradesh,Kra Daadi,0 to 2,5 to 10
2020-21,Arunachal Pradesh,Kurung Kumey,0 to 2,5 to 10
2020-21,Arunachal Pradesh,Lepa Rada,5 to 10,10 to 20
2020-21,Arunachal Pradesh,Lohit,2 to 5,2 to 5
2020-21,Arunachal Pradesh,Longding,5 to 10,5 to 10
2020-21,Arunachal Pradesh,Lower Dibang Valley,2 to 5,10 to 20
2020-21,Arunachal Pradesh,Lower Siang,5 to 10,10 to 20
2020-21,Arunachal Pradesh,Lower Subansiri,0 to 2,5 to 10
2020-21,Arunachal Pradesh,Namasai,2 to 5,2 to 5
2020-21,Arunachal Pradesh,Pakke Kessang,0 to 2,0 to 2
2020-21,Arunachal Pradesh,Papum Pare,0 to 2,0 to 2
2020-21,Arunachal Pradesh,Shi Yomi,5 to 10,10 to 20
2020-21,Arunachal Pradesh,Siang,0 to 2,2 to 5
2020-21,Arunachal Pradesh,Tawang,0 to 2,0 to 2
2020-21,Arunachal Pradesh,Tirap,5 to 10,5 to 10
2020-21,Arunachal Pradesh,Upper Siang,5 to 10,10 to 20
2020-21,Arunachal Pradesh,Upper Subansiri,0 to 2,5 to 10
2020-21,Arunachal Pradesh,West Kameng,0 to 2,0 to 2
2020-21,Arunachal Pradesh,West Siang,0 to 2,2 to 5
2020-21,Assam,Baksa,0 to 2,0 to 2
2020-21,Assam,Barpeta,0 to 2,2 to 5
2020-21,Assam,Biswanath,0 to 2,2 to 5
2020-21,Assam,Bongaigaon,0 to 2,2 to 5
2020-21,Assam,Cachar,0 to 2,2 to 5
2020-21,Assam,Charaideo,0 to 2,2 to 5
2020-21,Assam,Chirang,2 to 5,2 to 5
2020-21,Assam,Darrang,2 to 5,2 to 5
2020-21,Assam,Dhemaji,0 to 2,2 to 5
2020-21,Assam,Dhubri,2 to 5,2 to 5
2020-21,Assam,Dibrugarh,0 to 2,2 to 5
2020-21,Assam,Dima Hasao,0 to 2,0 to 2
2020-21,Assam,East Karbi Anglong,0 to 2,2 to 5
2020-21,Assam,Goalpara,2 to 5,2 to 5
2020-21,Assam,Golaghat,2 to 5,5 to 10
2020-21,Assam,Hailakandi,0 to 2,2 to 5
2020-21,Assam,Hojai,2 to 5,2 to 5
2020-21,Assam,Jorhat,0 to 2,2 to 5
2020-21,Assam,Kamrup,2 to 5,2 to 5
2020-21,Assam,Kamrup (Metro),0 to 2,0 to 2
2020-21,Assam,Karbi Anglong,2 to 5,2 to 5
2020-21,Assam,Karimganj,0 to 2,0 to 2
2020-21,Assam,Kokrajhar,2 to 5,5 to 10
2020-21,Assam,Lakhimpur,0 to 2,2 to 5
2020-21,Assam,Majuli,0 to 2,2 to 5
2020-21,Assam,Morigaon,0 to 2,2 to 5
2020-21,Assam,Nagaon,0 to 2,2 to 5
2020-21,Assam,Nalbari,2 to 5,5 to 10
2020-21,Assam,Sivasagar,0 to 2,2 to 5
2020-21,Assam,Sonitpur,0 to 2,2 to 5
2020-21,Assam,South Salmara Mankachar,0 to 2,2 to 5
2020-21,Assam,Tinsukia,2 to 5,2 to 5
2020-21,Assam,Udalguri,2 to 5,2 to 5
2020-21,Assam,West Karbi Anglong,2 to 5,2 to 5
2020-21,Bihar,Araria,2 to 5,2 to 5
2020-21,Bihar,Arwal,2 to 5,5 to 10
2020-21,Bihar,Aurangabad,2 to 5,5 to 10
2020-21,Bihar,Banka,2 to 5,5 to 10
2020-21,Bihar,Begusarai,2 to 5,5 to 10
2020-21,Bihar,Bhagalpur,2 to 5,5 to 10
2020-21,Bihar,Bhojpur,2 to 5,5 to 10
2020-21,Bihar,Buxar,2 to 5,5 to 10
2020-21,Bihar,Darbhanga,0 to 2,2 to 5
2020-21,Bihar,East Champaran,2 to 5,2 to 5
2020-21,Bihar,Gaya,2 to 5,5 to 10
2020-21,Bihar,Gopalganj,2 to 5,2 to 5
2020-21,Bihar,Jamui,2 to 5,5 to 10
2020-21,Bihar,Jehanabad,2 to 5,5 to 10
2020-21,Bihar,Kaimur,2 to 5,5 to 10
2020-21,Bihar,Katihar,2 to 5,5 to 10
2020-21,Bihar,Khagaria,2 to 5,5 to 10
2020-21,Bihar,Kishanganj,2 to 5,2 to 5
2020-21,Bihar,Lakhisarai,2 to 5,5 to 10
2020-21,Bihar,Madhepura,2 to 5,2 to 5
2020-21,Bihar,Madhubani,0 to 2,2 to 5
2020-21,Bihar,Munger,2 to 5,5 to 10
