Year,State,District,Post_Monsoon,Pre_Monsoon
2020-21,Bihar,Muzaffarpur,2 to 5,2 to 5
2020-21,Bihar,Nalanda,2 to 5,2 to 5
2020-21,Bihar,Nawada,2 to 5,5 to 10
2020-21,Bihar,Patna,2 to 5,2 to 5
2020-21,Bihar,Purnia,2 to 5,2 to 5
2020-21,Bihar,Rohtas,2 to 5,5 to 10
2020-21,Bihar,Saharsa,2 to 5,2 to 5
2020-21,Bihar,Samastipur,2 to 5,5 to 10
2020-21,Bihar,Saran,2 to 5,5 to 10
2020-21,Bihar,Sheikhpura,2 to 5,5 to 10
2020-21,Bihar,Sheohar,0 to 2,2 to 5
2020-21,Bihar,Sitamarhi,0 to 2,2 to 5
2020-21,Bihar,Siwan,2 to 5,2 to 5
2020-21,Bihar,Supaul,2 to 5,2 to 5
2020-21,Bihar,Vaishali,2 to 5,5 to 10
2020-21,Bihar,West Champaran,2 to 5,2 to 5
2020-21,Chandigarh,Chandigarh,10 to 20,10 to 20
2020-21,Chhattisgarh,Balod,2 to 5,5 to 10
2020-21,Chhattisgarh,Baloda Bazar,2 to 5,5 to 10
2020-21,Chhattisgarh,Balrampur,2 to 5,5 to 10
2020-21,Chhattisgarh,Bastar,2 to 5,2 to 5
2020-21,Chhattisgarh,Bemetara,2 to 5,5 to 10
2020-21,Chhattisgarh,Bijapur,2 to 5,5 to 10
2020-21,Chhattisgarh,Bilaspur,2 to 5,5 to 10
2020-21,Chhattisgarh,Dantewada,2 to 5,5 to 10
2020-21,Chhattisgarh,Dhamtari,2 to 5,2 to 5
2020-21,Chhattisgarh,Durg,2 to 5,2 to 5
2020-21,Chhattisgarh,Gariyaband,2 to 5,5 to 10
2020-21,Chhattisgarh,Janjgir-Champa,2 to 5,2 to 5
2020-21,Chhattisgarh,Jashpur,2 to 5,2 to 5
2020-21,Chhattisgarh,Kanker (North Bastar),2 to 5,2 to 5
2020-21,Chhattisgarh,Kawardha/ Kabirdham,2 to 5,5 to 10
2020-21,Chhattisgarh,Kondagaon,2 to 5,5 to 10
2020-21,Chhattisgarh,Korba,2 to 5,2 to 5
2020-21,Chhattisgarh,Koriya,2 to 5,5 to 10
2020-21,Chhattisgarh,Mahasamund,2 to 5,2 to 5
2020-21,Chhattisgarh,Mungeli,2 to 5,5 to 10
2020-21,Chhattisgarh,Narayanpur,2 to 5,5 to 10
2020-21,Chhattisgarh,Raigarh,2 to 5,2 to 5
2020-21,Chhattisgarh,Raipur,2 to 5,2 to 5
2020-21,Chhattisgarh,Rajnandgaon,2 to 5,2 to 5
2020-21,Chhattisgarh,Sukma,2 to 5,5 to 10
2020-21,Chhattisgarh,Surajpur,2 to 5,5 to 10
2020-21,Chhattisgarh,Surguja,2 to 5,5 to 10
2020-21,Dadra and Nagar Haveli,Dadra and Nagar Haveli,2 to 5,10 to 20
2020-21,Daman and Diu,Daman,0 to 2,5 to 10
2020-21,Daman and Diu,Diu,5 to 10,5 to 10
2020-21,Delhi,Central Delhi,5 to 10,5 to 10
2020-21,Delhi,East Delhi,10 to 20,10 to 20
2020-21,Delhi,New Delhi,20 to 40,20 to 40
2020-21,Delhi,North Delhi,5 to 10,10 to 20
2020-21,Delhi,North-East Delhi,5 to 10,5 to 10
2020-21,Delhi,North-West Delhi,2 to 5,2 to 5
2020-21,Delhi,Shahdara,10 to 20,10 to 20
2020-21,Delhi,South Delhi,>40,>40
2020-21,Delhi,South-East Delhi,10 to 20,20 to 40
2020-21,Delhi,South-West Delhi,10 to 20,10 to 20
2020-21,Delhi,West Delhi,10 to 20,10 to 20
2020-21,Goa,Bardez,2 to 5,2 to 5
2020-21,Goa,Bicholim,5 to 10,2 to 5
2020-21,Goa,Canacona,5 to 10,2 to 5
2020-21,Goa,Dharbandora,5 to 10,5 to 10
2020-21,Goa,Mormugao,0 to 2,2 to 5
2020-21,Goa,Pernem,2 to 5,2 to 5
2020-21,Goa,Ponda,10 to 20,5 to 10
2020-21,Goa,Quepem,2 to 5,5 to 10
2020-21,Goa,Salcete,0 to 2,5 to 10
2020-21,Goa,Sanguem,5 to 10,5 to 10
2020-21,Goa,Satari,10 to 20,5 to 10
2020-21,Goa,Tiswadi,2 to 5,5 to 10
2020-21,Gujarat,Ahmedabad,2 to 5,2 to 5
2020-21,Gujarat,Amreli,2 to 5,5 to 10
2020-21,Gujarat,Anand,2 to 5,20 to 40
2020-21,Gujarat,Aravalli,5 to 10,5 to 10
2020-21,Gujarat,Banaskantha,10 to 20,20 to 40
2020-21,Gujarat,Bharuch,2 to 5,5 to 10
2020-21,Gujarat,Bhavnagar,2 to 5,10 to 20
2020-21,Gujarat,Botad,2 to 5,5 to 10
2020-21,Gujarat,Chhota Udaipur,2 to 5,5 to 10
2020-21,Gujarat,Dang,0 to 2,0 to 2
2020-21,Gujarat,Devbhumi Dwarka,2 to 5,2 to 5
2020-21,Gujarat,Dohad,5 to 10,5 to 10
2020-21,Gujarat,Gandhinagar,10 to 20,20 to 40
2020-21,Gujarat,Gir Somnath,2 to 5,5 to 10
2020-21,Gujarat,Jamnagar,2 to 5,5 to 10
2020-21,Gujarat,Junagadh,5 to 10,5 to 10
2020-21,Gujarat,Kachchh,5 to 10,10 to 20
2020-21,Gujarat,Kheda,5 to 10,5 to 10
2020-21,Gujarat,Mahesana,10 to 20,10 to 20
2020-21,Gujarat,Mahisagar,2 to 5,5 to 10
2020-21,Gujarat,Morbi,0 to 2,2 to 5
2020-21,Gujarat,Narmada,2 to 5,5 to 10
2020-21,Gujarat,Navsari,2 to 5,5 to 10
2020-21,Gujarat,Panchmahal,2 to 5,5 to 10
2020-21,Gujarat,Patan,10 to 20,10 to 20
2020-21,Gujarat,Porbandar,2 to 5,5 to 10
2020-21,Gujarat,Rajkot,2 to 5,5 to 10
2020-21,Gujarat,Sabarkantha,5 to 10,10 to 20
2020-21,Gujarat,Surat,2 to 5,5 to 10
2020-21,Gujarat,Surendranagar,2 to 5,5 to 10
2020-21,Gujarat,Tapi,2 to 5,5 to 10
2020-21,Gujarat,Vadodara,2 to 5,5 to 10
2020-21,Gujarat,Valsad,5 to 10,5 to 10
2020-21,Haryana,Ambala,10 to 20,10 to 20
2020-21,Haryana,Bhiwani,2 to 5,2 to 5
2020-21,Haryana,Charkhi Dadri,>40,>40
2020-21,Haryana,Faridabad,20 to 40,20 to 40
2020-21,Haryana,Fatehabad,20 to 40,20 to 40
2020-21,Haryana,Gurgaon/Gururgram,20 to 40,20 to 40
2020-21,Haryana,Hisar,5 to 10,5 to 10
2020-21,Haryana,Jhajjar,2 to 5,2 to 5
2020-21,Haryana,Jind,10 to 20,10 to 20
2020-21,Haryana,Kaithal,20 to 40,20 to 40
2020-21,Haryana,Karnal,20 to 40,20 to 40
2020-21,Haryana,Kurukshetra,>40,>40
2020-21,Haryana,Mahendragarh,20 to 40,20 to 40
2020-21,Haryana,Mewat,10 to 20,5 to 10
2020-21,Haryana,Palwal,5 to 10,10 to 20
2020-21,Haryana,Panchkula,10 to 20,10 to 20
2020-21,Haryana,Panipat,20 to 40,20 to 40
2020-21,Haryana,Rewari,20 to 40,10 to 20
2020-21,Haryana,Rohtak,2 to 5,2 to 5
2020-21,Haryana,Sirsa,10 to 20,10 to 20
2020-21,Haryana,Sonipat,2 to 5,5 to 10
2020-21,Haryana,Yamuna Nagar,10 to 20,10 to 20
2020-21,Himachal Pradesh,Bilaspur,2 to 5,2 to 5
2020-21,Himachal Pradesh,Chamba,N.A.,N.A.
2020-21,Himachal Pradesh,Hamirpur,2 to 5,2 to 5
2020-21,Himachal Pradesh,Kangra,2 to 5,2 to 5
2020-21,Himachal Pradesh,Kinnaur,5 to 10,5 to 10
2020-21,Himachal Pradesh,Kullu,5 to 10,5 to 10
2020-21,Himachal Pradesh,Lahul & Spiti,N.A.,N.A.
2020-21,Himachal Pradesh,Mandi,2 to 5,2 to 5
2020-21,Himachal Pradesh,Shimla,N.A.,N.A.
2020-21,Himachal Pradesh,Sirmaur,5 to 10,10 to 20
2020-21,Himachal Pradesh,Solan,10 to 20,20 to 40
2020-21,Himachal Pradesh,Una,2 to 5,2 to 5
2020-21,Jammu and Kashmir,Anantnag,10 to 20,10 to 20
2020-21,Jammu and Kashmir,Bandipora,2 to 5,0 to 2
2020-21,Jammu and Kashmir,Baramulla,0 to 2,0 to 2
2020-21,Jammu and Kashmir,Budgam,2 to 5,0 to 2
2020-21,Jammu and Kashmir,Doda,2 to 5,0 to 2
2020-21,Jammu and Kashmir,Ganderbal,0 to 2,0 to 2
2020-21,Jammu and Kashmir,Jammu,0 to 2,2 to 5
2020-21,Jammu and Kashmir,Kathua,0 to 2,2 to 5
2020-21,Jammu and Kashmir,Kishtwar,10 to 20,10 to 20
2020-21,Jammu and Kashmir,Kulgam,10 to 20,10 to 20
2020-21,Jammu and Kashmir,Kupwara,0 to 2,0 to 2
2020-21,Jammu and Kashmir,Poonch,N.A.,N.A.
2020-21,Jammu and Kashmir,Pulwama,10 to 20,2 to 5
2020-21,Jammu and Kashmir,Rajauri,0 to 2,0 to 2
2020-21,Jammu and Kashmir,Ramban,0 to 2,2 to 5
2020-21,Jammu and Kashmir,Reasi,0 to 2,2 to 5
2020-21,Jammu and Kashmir,Samba,0 to 2,2 to 5
2020-21,Jammu and Kashmir,Shopian,2 to 5,0 to 2
2020-21,Jammu and Kashmir,Srinagar,2 to 5,2 to 5
2020-21,Jammu and Kashmir,Udhampur,0 to 2,2 to 5
2020-21,Jharkhand,Bokaro,2 to 5,5 to 10
2020-21,Jharkhand,Chatra,5 to 10,5 to 10
2020-21,Jharkhand,Deoghar,2 to 5,5 to 10
2020-21,Jharkhand,Dhanbad,2 to 5,5 to 10
2020-21,Jharkhand,Dumka,2 to 5,5 to 10
2020-21,Jharkhand,East Singhbhum,0 to 2,2 to 5
2020-21,Jharkhand,Garhwa,2 to 5,5 to 10
2020-21,Jharkhand,Giridih,2 to 5,5 to 10
2020-21,Jharkhand,Godda,2 to 5,5 to 10
2020-21,Jharkhand,Gumla,2 to 5,5 to 10
2020-21,Jharkhand,Hazaribagh,2 to 5,5 to 10
2020-21,Jharkhand,Jamtara,2 to 5,5 to 10
2020-21,Jharkhand,Khunti,5 to 10,5 to 10
2020-21,Jharkhand,Kodarma,2 to 5,5 to 10
2020-21,Jharkhand,Latehar,2 to 5,5 to 10
2020-21,Jharkhand,Lohardaga,2 to 5,5 to 10
2020-21,Jharkhand,Pakur,0 to 2,5 to 10
2020-21,Jharkhand,Palamu,2 to 5,5 to 10
2020-21,Jharkhand,Ramgarh,5 to 10,5 to 10
2020-21,Jharkhand,Ranchi,2 to 5,5 to 10
2020-21,Jharkhand,Sahibganj,2 to 5,5 to 10
2020-21,Jharkhand,Saraikela Kharsawan,5 to 10,5 to 10
2020-21,Jharkhand,Simdega,5 to 10,5 to 10
2020-21,Jharkhand,West Singhbhum,2 to 5,5 to 10
2020-21,Karnataka,Bagalkot,2 to 5,5 to 10
2020-21,Karnataka,Bangalore Rural,0 to 2,5 to 10
2020-21,Karnataka,Bangalore Urban,0 to 2,2 to 5
2020-21,Karnataka,Belgaum,0 to 2,5 to 10
2020-21,Karnataka,Bellary,2 to 5,5 to 10
2020-21,Karnataka,Bidar,0 to 2,10 to 20
2020-21,Karnataka,Bijapur,0 to 2,5 to 10
2020-21,Karnataka,Chamarajanagar,2 to 5,5 to 10
2020-21,Karnataka,Chikballapura,2 to 5,2 to 5
2020-21,Karnataka,Chikmagalur,5 to 10,5 to 10
2020-21,Karnataka,Chitradurga,2 to 5,5 to 10
2020-21,Karnataka,Dakshina Kannada,5 to 10,5 to 10
2020-21,Karnataka,Davangere,0 to 2,5 to 10
2020-21,Karnataka,Dharwad,2 to 5,5 to 10
2020-21,Karnataka,Gadag,2 to 5,5 to 10
2020-21,Karnataka,Gulbarga,0 to 2,5 to 10
2020-21,Karnataka,Hassan,2 to 5,5 to 10
2020-21,Karnataka,Haveri,2 to 5,5 to 10
2020-21,Karnataka,Kodagu,5 to 10,10 to 20
2020-21,Karnataka,Kolar,0 to 2,2 to 5
2020-21,Karnataka,Koppal,2 to 5,5 to 10
2020-21,Karnataka,Mandya,2 to 5,2 to 5
2020-21,Karnataka,Mysore,2 to 5,5 to 10
2020-21,Karnataka,Raichur,0 to 2,5 to 10
2020-21,Karnataka,Ramanagara,2 to 5,5 to 10
2020-21,Karnataka,Shimoga,5 to 10,10 to 20
2020-21,Karnataka,Tumkur,0 to 2,2 to 5
2020-21,Karnataka,Udupi,5 to 10,5 to 10
2020-21,Karnataka,Uttara Kannada,2 to 5,5 to 10
2020-21,Karnataka,Yadgir,5 to 10,5 to 10
2020-21,Kerala,Alappuzha,0 to 2,2 to 5
2020-21,Kerala,Ernakulam,5 to 10,5 to 10
2020-21,Kerala,Idukki,2 to 5,2 to 5
2020-21,Kerala,Kannur,5 to 10,10 to 20
2020-21,Kerala,Kasaragod,5 to 10,10 to 20
2020-21,Kerala,Kollam,5 to 10,5 to 10
2020-21,Kerala,Kottayam,2 to 5,5 to 10
2020-21,Kerala,Kozhikode,2 to 5,5 to 10
2020-21,Kerala,Malappuram,5 to 10,5 to 10
2020-21,Kerala,Palakkad,5 to 10,5 to 10
2020-21,Kerala,Pathanamthitta,5 to 10,2 to 5
2020-21,Kerala,Thiruvananthapuram,5 to 10,5 to 10
2020-21,Kerala,Thrissur,5 to 10,5 to 10
2020-21,Kerala,Wayanad,5 to 10,5 to 10
2020-21,Ladakh,Kargil,10 to 20,10 to 20
2020-21,Ladakh,Leh,10 to 20,10 to 20
2020-21,Madhya Pradesh,Agar Malwa,5 to 10,10 to 20
2020-21,Madhya Pradesh,Alirajpur,2 to 5,5 to 10
2020-21,Madhya Pradesh,Anuppur,2 to 5,5 to 10
2020-21,Madhya Pradesh,Ashok Nagar,2 to 5,5 to 10
2020-21,Madhya Pradesh,Balaghat,2 to 5,5 to 10
2020-21,Madhya Pradesh,Barwani,2 to 5,5 to 10
2020-21,Madhya Pradesh,Betul,2 to 5,5 to 10
2020-21,Madhya Pradesh,Bhind,5 to 10,20 to 40
2020-21,Madhya Pradesh,Bhopal,2 to 5,2 to 5
2020-21,Madhya Pradesh,Burhanpur,5 to 10,10 to 20
2020-21,Madhya Pradesh,Chhatarpur,5 to 10,5 to 10
2020-21,Madhya Pradesh,Chhindwara,2 to 5,10 to 20
2020-21,Madhya Pradesh,Damoh,2 to 5,5 to 10
2020-21,Madhya Pradesh,Datia,2 to 5,10 to 20
2020-21,Madhya Pradesh,Dewas,5 to 10,10 to 20
2020-21,Madhya Pradesh,Dhar,2 to 5,10 to 20
2020-21,Madhya Pradesh,Dindori,2 to 5,5 to 10
2020-21,Madhya Pradesh,Guna,2 to 5,5 to 10
2020-21,Madhya Pradesh,Gwalior,5 to 10,10 to 20
2020-21,Madhya Pradesh,Harda,5 to 10,5 to 10
2020-21,Madhya Pradesh,Hoshangabad,5 to 10,5 to 10
2020-21,Madhya Pradesh,Indore,2 to 5,5 to 10
2020-21,Madhya Pradesh,Jabalpur,2 to 5,5 to 10
2020-21,Madhya Pradesh,Jhabua,2 to 5,2 to 5
2020-21,Madhya Pradesh,Katni,5 to 10,10 to 20
2020-21,Madhya Pradesh,Khandwa,2 to 5,5 to 10
2020-21,Madhya Pradesh,Khargone,5 to 10,2 to 5
2020-21,Madhya Pradesh,Mandla,2 to 5,5 to 10
2020-21,Madhya Pradesh,Mandsaur,5 to 10,5 to 10
2020-21,Madhya Pradesh,Morena,5 to 10,5 to 10
2020-21,Madhya Pradesh,Narsinghpur,2 to 5,5 to 10
2020-21,Madhya Pradesh,Neemuch,5 to 10,5 to 10
2020-21,Madhya Pradesh,Panna,2 to 5,5 to 10
2020-21,Madhya Pradesh,Raisen,2 to 5,5 to 10
2020-21,Madhya Pradesh,Rajgarh,5 to 10,10 to 20
2020-21,Madhya Pradesh,Ratlam,5 to 10,10 to 20
2020-21,Madhya Pradesh,Rewa,5 to 10,5 to 10
2020-21,Madhya Pradesh,Sagar,2 to 5,5 to 10
2020-21,Madhya Pradesh,Satna,2 to 5,5 to 10
2020-21,Madhya Pradesh,Sehore,5 to 10,5 to 10
2020-21,Madhya Pradesh,Seoni,0 to 2,2 to 5
2020-21,Madhya Pradesh,Shahdol,5 to 10,5 to 10
2020-21,Madhya Pradesh,Shajapur,5 to 10,5 to 10
2020-21,Madhya Pradesh,Sheopur,5 to 10,10 to 20
2020-21,Madhya Pradesh,Shivpuri,5 to 10,5 to 10
2020-21,Madhya Pradesh,Sidhi,5 to 10,5 to 10
2020-21,Madhya Pradesh,Singrauli,2 to 5,5 to 10
2020-21,Madhya Pradesh,Tikamgarh,5 to 10,5 to 10
2020-21,Madhya Pradesh,Ujjain,2 to 5,5 to 10
2020-21,Madhya Pradesh,Umaria,5 to 10,5 to 10
2020-21,Madhya Pradesh,Vidisha,5 to 10,5 to 10
2020-21,Maharashtra,Ahmednagar,2 to 5,10 to 20
2020-21,Maharashtra,Akola,2 to 5,10 to 20
2020-21,Maharashtra,Amravati,0 to 2,5 to 10
2020-21,Maharashtra,Aurangabad,2 to 5,10 to 20
2020-21,Maharashtra,Beed,0 to 2,10 to 20
2020-21,Maharashtra,Bhandara,0 to 2,5 to 10
2020-21,Maharashtra,Buldana,0 to 2,5 to 10
2020-21,Maharashtra,Chandrapur,0 to 2,5 to 10
2020-21,Maharashtra,Dhule,0 to 2,5 to 10
2020-21,Maharashtra,Gadchiroli,0 to 2,5 to 10
2020-21,Maharashtra,Gondia,2 to 5,5 to 10
2020-21,Maharashtra,Hingoli,2 to 5,5 to 10
2020-21,Maharashtra,Jalgaon,0 to 2,5 to 10
2020-21,Maharashtra,Jalna,0 to 2,10 to 20
2020-21,Maharashtra,Kolhapur,0 to 2,2 to 5
2020-21,Maharashtra,Latur,2 to 5,10 to 20
2020-21,Maharashtra,Mumbai City,0 to 2,2 to 5
2020-21,Maharashtra,Mumbai Suburban,2 to 5,2 to 5
2020-21,Maharashtra,Nagpur,0 to 2,5 to 10
2020-21,Maharashtra,Nanded,2 to 5,5 to 10
2020-21,Maharashtra,Nandurbar,0 to 2,5 to 10
2020-21,Maharashtra,Nashik,0 to 2,5 to 10
2020-21,Maharashtra,Osmanabad,0 to 2,10 to 20
2020-21,Maharashtra,Palghar,0 to 2,5 to 10
2020-21,Maharashtra,Parbhani,0 to 2,5 to 10
2020-21,Maharashtra,Pune,0 to 2,5 to 10
2020-21,Maharashtra,Raigad,0 to 2,2 to 5
2020-21,Maharashtra,Ratnagiri,0 to 2,5 to 10
2020-21,Maharashtra,Sangli,0 to 2,5 to 10
2020-21,Maharashtra,Satara,2 to 5,5 to 10
2020-21,Maharashtra,Sindhudurg,0 to 2,5 to 10
2020-21,Maharashtra,Solapur,2 to 5,5 to 10
2020-21,Maharashtra,Thane,0 to 2,2 to 5
2020-21,Maharashtra,Wardha,0 to 2,5 to 10
2020-21,Maharashtra,Washim,0 to 2,5 to 10
2020-21,Maharashtra,Yavatmal,2 to 5,5 to 10
2020-21,Meghalaya,East Garo Hills,2 to 5,2 to 5
2020-21,Meghalaya,East Jaintia Hills,20 to 40,20 to 40
2020-21,Meghalaya,East Khasi Hills,0 to 2,2 to 5
2020-21,Meghalaya,North Garo Hills,2 to 5,2 to 5
2020-21,Meghalaya,Ri Bhoi,0 to 2,2 to 5
2020-21,Meghalaya,South Garo Hills,2 to 5,2 to 5
2020-21,Meghalaya,South West Garo Hills,2 to 5,2 to 5
2020-21,Meghalaya,South West Khasi Hills,0 to 2,0 to 2
2020-21,Meghalaya,West Garo Hills,2 to 5,2 to 5
2020-21,Meghalaya,West Jaintia Hills,0 to 2,0 to 2
2020-21,Meghalaya,West Khasi Hills,0 to 2,2 to 5
2020-21,Nagaland,Dimapur,2 to 5,10 to 20
2020-21,Nagaland,Kiphire,20 to 40,20 to 40
2020-21,Nagaland,Kohima,0 to 2,2 to 5
2020-21,Nagaland,Longleng,20 to 40,20 to 40
2020-21,Nagaland,Mokokchung,0 to 2,2 to 5
2020-21,Nagaland,Mon,20 to 40,20 to 40
2020-21,Nagaland,Peren,2 to 5,2 to 5
2020-21,Nagaland,Phek,20 to 40,20 to 40
2020-21,Nagaland,Tuensang,20 to 40,20 to 40
2020-21,Nagaland,Wokha,2 to 5,5 to 10
2020-21,Nagaland,Zunheboto,0 to 2,2 to 5
2020-21,Odisha,Angul,2 to 5,5 to 10
2020-21,Odisha,Balangir,2 to 5,2 to 5
2020-21,Odisha,Baleshwar,2 to 5,5 to 10
2020-21,Odisha,Bargarh,0 to 2,0 to 2
2020-21,Odisha,Bhadrak,0 to 2,2 to 5
2020-21,Odisha,Boudh,2 to 5,5 to 10
2020-21,Odisha,Cuttack,2 to 5,2 to 5
2020-21,Odisha,Deogarh,2 to 5,5 to 10
2020-21,Odisha,Dhenkanal,2 to 5,5 to 10
2020-21,Odisha,Gajapati,0 to 2,2 to 5
2020-21,Odisha,Ganjam,0 to 2,2 to 5
2020-21,Odisha,Jagatsinghapur,0 to 2,2 to 5
2020-21,Odisha,Jajapur,0 to 2,2 to 5
2020-21,Odisha,Jharsuguda,0 to 2,5 to 10
2020-21,Odisha,Kalahandi,0 to 2,5 to 10
2020-21,Odisha,Kandhamal,5 to 10,5 to 10
2020-21,Odisha,Kendrapara,0 to 2,2 to 5
2020-21,Odisha,Kendujhar,2 to 5,5 to 10
2020-21,Odisha,Khordha,2 to 5,5 to 10
2020-21,Odisha,Koraput,2 to 5,5 to 10
2020-21,Odisha,Malkangiri,0 to 2,2 to 5
