Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2014-04-16,Odisha,Nuapada,Sahipala,20.82806,82.67778,2.51,0.25
2014-01-04,Rajasthan,Pratapgarh,PIPAL KHUNT,23.79583,74.56667,2.92,2.35
2014-01-05,Assam,Nagaon,Haldiati sub bt,26.17194,92.93889,1.61,-0.46
2013-05-14,Maharashtra,Nagpur,Nagpur VNIT_Pz,21.13333,79.03333,2.6,0.9
2014-05-14,Andhra Pradesh,Vizianagaram,Kollivalasa 2013DW,18.52222,83.52222,0.77,-2.88
2017-11-18,Assam,Dhemaji,Bhagaban charali,27.5,94.54444,2.5,-4.55
2018-01-09,Rajasthan,Bikaner,NAPASAR,27.9625,73.55833,78.69,-1.54
2014-08-24,Andhra Pradesh,Kurnool,Gulyam-DW13,15.36667,77.14167,6.9,-0.36
2021-01-09,Maharashtra,Dharashiv,Sarola,17.96528,76.04833,4.21,0.66
2015-01-04,Karnataka,Davangere,Davangere A,14.46556,75.91556,6.9,2.94
2018-11-04,Madhya Pradesh,Dhar,Dasai,22.72194,75.13222,10.76,1.66
2016-01-04,Madhya Pradesh,Guna,Patai,24.74444,77.37111,7.7,3.82
2021-01-09,Gujarat,Surat,Vaheval,20.83722,73.28778,7.83,0.48
2018-11-27,Madhya Pradesh,Mandsaur,Gujarbardia Npz,24.04167,75.18333,16.25,9.73
2017-05-14,Karnataka,Kalaburagi,Nimbala,17.35,77.39167,14.81,4.81
2015-03-23,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,7.25,3.5
2019-01-09,Bihar,Banka,Fulidumer,24.82722,86.85139,8.15,6.94
2022-08-11,Tamil Nadu,Cuddalore,Maruthur2,11.49222,79.60278,6.64,2.21
2019-11-26,Kerala,Kottayam,Kudavechur,9.67833,76.42083,1.2,0.25
2019-05-04,Telangana,Karimnagar,Dharmapuri-new,18.94306,79.09583,10.06,2.42
2014-01-04,Madhya Pradesh,Satna,Kakra,24.35278,81.03889,6.85,4.45
2017-04-16,Kerala,Ernakulam,Thirumaradi,9.88861,76.555,4.55,-0.12
2017-01-04,Maharashtra,Wardha,Vadad,20.65833,78.56667,8.96,2.0
2020-11-29,Delhi,North West,Rani Khera,28.70694,77.025,2.11,1.29
2014-05-16,Tamil Nadu,Cuddalore,Sethiatope2,11.46667,79.55,45.53,23.16
2018-05-30,Madhya Pradesh,Datia,Dursadha,25.70972,78.64417,8.07,2.26
2015-11-04,Punjab,Jalandhar,Sultanpur-Pz,31.0625,75.8875,18.1,2.1
2016-01-06,Kerala,Kannur,Pannoor,11.75167,75.57944,4.24,1.19
2014-01-04,Karnataka,Tumakuru,Hosakere2,13.75,77.2,10.38,1.62
2014-05-14,Karnataka,Mandya,Nagamangala1,12.81667,76.75833,4.27,1.2
2014-08-24,Punjab,Bathinda,Balluana-Pz,30.22889,74.78806,6.63,1.16
2013-05-14,Madhya Pradesh,Ratlam,Tal,23.72167,75.38333,13.8,11.05
2014-01-04,Karnataka,Bengaluru Rural,Rudrapura Chadrappa Circle,12.91667,77.83333,4.88,2.3
2014-11-04,Madhya Pradesh,Bhind,Ater,26.75,78.64417,20.0,1.7
2014-06-07,Rajasthan,Alwar,RAMGARH1,27.58333,76.80972,11.72,-10.43
2019-01-04,Kerala,Kannur,Ezhilode,12.09167,75.24889,14.93,2.94
2013-05-14,Uttar Pradesh,Bareilly,Alampur Zafrabad Pz GWD,28.23333,79.33333,5.5,0.5
2015-05-14,Rajasthan,Udaipur,UNDRI,24.49583,73.6125,1.15,-1.65
2013-01-01,Karnataka,Yadgir,Madarki,16.78333,76.76667,1.41,-2.9
2017-06-11,Tamil Nadu,Ramanathapuram,Ramanathapuram2,9.36667,78.78333,4.65,0.1
2020-08-24,West Bengal,Paschim Medinipur,Belia Beria,22.26833,86.93472,6.64,-3.79
2018-06-30,Tamil Nadu,Karur,Karur2,10.95833,78.08333,4.4,0.35
2013-08-24,Rajasthan,Tonk,MAHUVA,25.99861,75.68333,3.19,-2.2
2018-01-27,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,4.22,-0.08
2019-05-04,Andhra Pradesh,Ananthapuramu,Talapula-PZ,14.24306,78.2625,18.75,2.45
2014-01-04,Bihar,Madhepura,Ganeshpur,25.5925,86.98083,3.19,0.97
2015-08-24,Karnataka,Chikkamagaluru,Uppalli,13.33556,76.02917,4.25,-2.0
2018-01-04,Kerala,Wayanad,Vayittiri,11.55583,76.04028,7.32,0.29
2019-01-03,Karnataka,Hassan,Kunigal,12.88028,75.76667,3.2,0.55
2013-11-04,Karnataka,Tumakuru,Karadikodi,13.26917,76.56528,9.12,-0.86
2016-08-24,Chhattisgarh,Janjgir-Champa,Nariyara,21.94778,82.405,1.43,-8.57
2014-01-04,Maharashtra,Gadchiroli,Shankarpur,20.62722,80.04056,4.0,0.65
2023-03-14,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,2.25,-0.15
2020-01-09,Jharkhand,Godda,Mahagama1,25.03722,87.32222,6.26,1.81
2017-08-24,Rajasthan,Sikar,Bau,27.79167,75.13333,76.05,11.35
2017-11-04,Haryana,Sirsa,Goriwala,29.79167,74.70833,16.76,0.23
2016-11-04,Uttar Pradesh,Agra,Dabar Pz-GWD,27.04917,77.59111,13.92,-0.18
2017-01-06,Kerala,Thrissur,Pallikunnu,10.42611,76.31889,9.21,0.79
2016-08-24,Punjab,Patiala,Thua,30.5,76.55417,34.88,1.82
2020-11-29,Kerala,Malappuram,Tirukkad,10.99167,76.18306,6.43,-0.94
2016-05-14,Maharashtra,Akola,Alegaon,20.40972,76.85333,8.7,4.3
2014-01-04,Madhya Pradesh,Neemuch,Nayagaon2,24.56111,74.77639,1.82,1.02
2018-03-23,Tamil Nadu,Karur,Karur2,10.95833,78.08333,2.85,-1.2
2016-05-14,Andaman And Nicobar Islands,South Andamans,Culicut Borewell,11.53806,92.72361,11.8,9.14
2018-05-29,Rajasthan,Tonk,DIKOLIYA,25.975,75.96611,11.08,1.95
2017-11-04,Maharashtra,Latur,Rapka,18.35361,76.805,3.6,1.53
2015-08-26,Kerala,Kottayam,Thalayolaparambu (R1),9.78333,76.43694,2.14,-0.96
2018-01-09,Odisha,Jharsuguda,Lakhanpur,21.76111,83.77361,4.45,1.7
2017-11-06,Odisha,Sundargarh,Sundargarh,22.12028,84.03833,1.36,-0.74
2021-04-10,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,8.8,-1.0
2018-11-23,West Bengal,Bankura,Ledhapakor,22.84833,86.74,3.78,1.98
2022-07-09,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,8.8,-1.0
2016-11-04,Karnataka,Bengaluru Rural,Shivagange,13.16806,77.225,2.97,0.6
2019-01-09,Gujarat,Surendranagar,Limbdi-Pz,22.57222,71.80833,2.11,-0.49
2020-01-09,Tamil Nadu,Chennai,Tondiarpet,13.11667,80.275,7.8,0.6
2019-01-04,Andhra Pradesh,Y.S.R.,Kondapuram(rs),14.75,78.21667,14.57,9.35
2017-11-04,Delhi,South,Sundar Nursery Pz,28.59611,77.245,7.21,-0.08
2016-09-04,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,8.1,-0.84
2013-01-01,Haryana,Faridabad,Immamudipur,28.28333,77.47083,62.0,32.63
2015-01-04,Karnataka,Hassan,Shenkaranahalli,12.94472,76.06389,3.0,0.35
2016-05-14,Karnataka,Koppal,Hoshalli,15.3125,76.31667,2.35,1.05
2018-04-20,West Bengal,Hooghly,Mirzapur2,22.88889,88.0425,15.32,1.54
2014-11-04,Rajasthan,Hanumangarh,LAKHERAN,28.975,74.29167,37.6,0.5
2019-08-26,Kerala,Malappuram,Cherukara,10.925,76.225,4.73,-2.08
2014-01-04,Maharashtra,Pune,Undavri Kade Pathar,18.24722,74.53889,1.46,-2.24
2021-01-09,Rajasthan,Jalore,Hadetar,24.75222,71.82861,35.22,0.5
2019-01-09,Odisha,Bhadrak,Basudevpur-I,21.0575,86.64583,3.64,-0.2
2013-08-24,Karnataka,Kalaburagi,Malkhed,17.20833,77.15833,4.02,-3.28
2017-08-24,Maharashtra,Latur,Narsingwadi,18.40028,76.99611,6.2,1.7
2019-08-02,West Bengal,Jalpaiguri,Karbola,26.84056,89.07361,4.07,-2.82
2014-08-24,Andhra Pradesh,Kurnool,Rudravaram-DW13,15.85028,78.47083,0.96,-3.54
2013-06-04,West Bengal,Hooghly,Mirzapur2,22.88889,88.0425,14.4,-0.07
2013-01-04,Telangana,Karimnagar,Chillapalli,18.7625,79.55278,7.26,1.6
2013-11-04,Karnataka,Hassan,Ramanathapura,12.61056,76.08806,0.47,-0.03
2019-11-17,Haryana,Kurukshetra,Jogna Khera,29.97361,76.82778,33.3,-3.1
2021-04-23,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,2.25,-0.15
2016-08-24,Maharashtra,Chhatrapati Sambhajinagar,Ajanta,20.54167,75.74167,4.5,-6.5
2014-05-14,Rajasthan,Jodhpur,Nokh1,27.54167,72.275,22.52,3.5
2016-02-26,Madhya Pradesh,Mandsaur,Botalganj,24.14833,75.02917,10.4,-8.74
2020-04-29,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,3.7,-0.15
2019-01-09,Bihar,Sheikhpura,Keoti1,25.21667,85.79583,3.52,2.19
2014-11-04,Tamil Nadu,Kancheepuram,Chunamedu,12.25833,79.90833,5.95,2.58
2017-08-24,Rajasthan,Pratapgarh,PIPAL KHUNT,23.79583,74.56667,2.57,-11.1
2017-11-04,Jharkhand,Simdega,Bishnupur,22.7,84.38639,3.45,1.05
2017-08-24,Maharashtra,Pune,Khadki,18.56361,73.84056,2.1,-3.4
2014-11-04,Karnataka,Tumakuru,Tumbadi,13.56667,77.24167,0.78,-0.42
2014-04-16,Kerala,Ernakulam,Puthotta,9.91944,76.375,3.18,0.89
2014-08-24,Rajasthan,Jhalawar,JASWANTPURA1,24.34167,75.99167,13.25,-5.75
2017-08-26,West Bengal,Darjeeling,Tirhana,26.75417,88.24861,2.95,-4.83
2015-05-14,Uttarakhand,Nainital,Lamachaur (New),29.22861,79.4125,48.07,8.81
2013-11-04,Uttar Pradesh,Farrukhabad,Pz GWD Shukrullahpur,27.46667,79.43333,8.27,-2.17
2018-01-09,Gujarat,Porbandar,Navibandar,21.44583,69.79167,4.48,0.8
2016-01-04,Andhra Pradesh,Guntur,Vijayapuri 2012Pz,16.55833,79.33333,4.0,-0.62
2013-01-01,Haryana,Sonipat,Rohat,28.93333,76.975,1.44,-5.21
2015-11-06,West Bengal,Purulia,Bero1,23.50778,86.76111,4.3,1.91
2015-08-26,Kerala,Thrissur,Mapranam,10.37694,76.22139,12.12,-0.08
2017-05-14,Uttar Pradesh,Hardoi,Harpalpur PZ-GWD,27.35056,79.78889,6.98,-0.05
2015-08-24,Telangana,Nalgonda,Tekmatla-DW13,17.16861,79.56444,5.97,-1.43
2015-01-04,Maharashtra,Nashik,Toharabad,20.775,74.13333,3.9,0.5
2020-08-24,Gujarat,Kachchh,Vinjhan1,23.1,69.025,2.05,-2.51
2018-08-19,Maharashtra,Washim,Kondala Jhambre,20.16833,77.12556,3.35,-8.84
2017-04-16,West Bengal,Purba Medinipur,Nandakumar,22.21028,87.935,8.36,-3.39
2021-01-09,Karnataka,Haveri,Kuppelur,14.9625,75.14167,6.87,0.19
2018-05-30,Madhya Pradesh,Sidhi,Sihawal,24.56167,82.23917,13.8,1.55
2014-07-26,West Bengal,Murshidabad,Salar2,23.77611,88.10833,10.61,2.98
2015-01-04,Andhra Pradesh,Ananthapuramu,Gorantla-PZ,13.98333,77.76667,29.75,1.0
2018-01-09,Odisha,Ganjam,Tanganapalli 1,19.37444,84.87972,3.2,2.47
2013-01-06,West Bengal,Purulia,Gaurandih_B,23.44694,86.79306,2.59,0.43
2013-12-05,Rajasthan,Alwar,RAMGARH1,27.58333,76.80972,20.8,8.25
2020-08-11,Tamil Nadu,Thoothukkudi,Karisalkulam,9.15,78.16667,10.91,2.05
2013-11-04,Tamil Nadu,Sivaganga,Sakottai,10.09583,78.85833,29.59,1.0
2015-08-24,Rajasthan,Jaisalmer,BALAR,26.48889,71.80833,15.52,2.55
2016-11-04,Maharashtra,Jalgaon,Mondhale,20.85833,75.025,3.11,-1.09
2014-08-24,Gujarat,Kachchh,Asambia mota1,22.96806,69.4375,15.1,-1.35
2018-06-28,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,4.3,-0.38
2013-08-26,Odisha,Puri,Tampalo,20.02056,86.05833,1.42,-2.96
2020-01-09,West Bengal,Hooghly,Bhadreswar1,22.82889,88.35639,3.36,0.16
2015-03-24,Madhya Pradesh,Sidhi,Patpara,24.485,81.89028,5.53,0.28
2022-12-26,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,2.25,-0.15
2014-01-04,Karnataka,Uttara Kannada,Gokarn,14.55,74.31667,6.41,3.61
2023-03-21,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,2.25,-0.15
2013-01-04,Karnataka,Bidar,Kamalnagar,18.25,77.2,3.1,1.9
2013-01-01,Tamil Nadu,Perambalur,Vengalam,11.375,78.78333,1.74,1.11
2017-01-06,Kerala,Kannur,Kannapuram,11.97778,75.30833,2.7,0.35
2017-11-04,Madhya Pradesh,Tikamgarh,Palera,25.02361,79.2375,6.01,-0.65
2020-08-09,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,3.7,-0.15
2014-05-14,Tamil Nadu,Coimbatore,Seeliyur,11.17917,76.75833,16.9,9.69
2019-08-05,West Bengal,Paschim Medinipur,Sonakania,21.86722,87.25611,9.0,-2.82
2020-06-08,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,9.8,1.34
2015-11-04,Andhra Pradesh,West Godavari,Pippara-DW13,16.70806,81.54833,1.36,0.24
2018-11-24,West Bengal,Cooch Behar,Gosanimari,26.15917,89.35806,3.7,0.59
2021-01-09,Maharashtra,Jalna,Partur_Pz,19.6,76.20833,4.9,-0.5
2016-05-14,Haryana,Panchkula,Nadha-DW,30.68333,76.9,2.65,-1.95
2018-05-29,Jharkhand,Gumla,Chainpur1,23.14389,84.19889,5.35,1.11
2021-01-09,Chhattisgarh,Bilaspur,Saraipalli,22.34167,81.93611,6.54,1.3
2014-08-26,Kerala,Palakkad,Adiparanda,10.5125,76.57083,3.51,-5.04
2014-04-16,West Bengal,Birbhum,Garuijora,23.87861,87.5275,1.99,-0.41
2017-01-04,Goa,South Goa,Suktali Molem,15.36361,74.17528,3.94,-0.02
2018-01-18,Chhattisgarh,Raipur,Tarpongi,21.49056,81.68917,4.82,1.73
2013-08-26,Odisha,Nayagarh,Nayagarh,20.12861,85.11861,1.81,-2.87
2019-04-04,Kerala,Kannur,Kolachery,11.97222,75.41,9.2,0.46
2014-05-14,Jharkhand,West Singhbhum,Hesadih,22.50444,85.75028,5.0,1.47
2017-01-04,Jammu And Kashmir,Udhampur,Kotli Pain,32.90889,75.09139,1.01,0.06
2015-08-24,Uttar Pradesh,Farrukhabad,Pz Dabhau,27.45,79.36667,10.59,0.22
2021-11-20,Uttar Pradesh,Deoria,Deoria2,26.52917,83.77222,3.3,0.83
2017-11-06,West Bengal,Murshidabad,Gokarna,24.03333,88.1125,21.95,3.83
2019-01-09,Gujarat,Dahod,Tokarba,22.60417,74.0375,4.17,2.22
2017-11-04,Gujarat,Bhavnagar,Dudhala,21.1375,71.65833,9.37,-4.66
2013-08-24,Gujarat,Jamnagar,Bhanvad,21.92778,69.79583,9.35,-6.51
2015-01-06,Kerala,Thrissur,Wadakkanchery,10.66667,76.25,10.4,1.4
2017-05-14,Andhra Pradesh,Kurnool,Orvakallu,15.6875,78.175,8.5,3.3
2016-05-14,Andhra Pradesh,Visakhapatnam,Bandavaripalem DW14,17.71472,82.59056,6.62,4.02
2013-11-06,West Bengal,South 24 Parganas,Dongaria,22.3975,88.16972,3.43,-7.15
2018-11-18,Andhra Pradesh,Guntur,Sekuru,16.3,80.63333,5.5,0.1
2013-01-04,Telangana,Warangal,Kothapalli 2010 Pz,17.86444,79.30472,12.7,-1.18
2014-04-16,Kerala,Malappuram,Thazhekode,10.93333,76.3,7.74,0.34
2013-08-26,Odisha,Sambalpur,Badarama,21.49,84.27667,3.95,-2.9
2014-08-26,Kerala,Pathanamthitta,Kidanganoor,9.30722,76.685,0.75,-3.85
2020-03-29,Tamil Nadu,Ramanathapuram,Ramanathapuram2,9.36667,78.78333,3.03,-1.62
2022-05-10,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,8.8,-1.0
2021-02-12,Haryana,Kurukshetra,Jogna Khera,29.97361,76.82778,36.4,3.1
2016-11-22,West Bengal,Hooghly,Mirzapur2,22.88889,88.0425,15.32,0.17
2019-11-13,West Bengal,Birbhum,Santiniketan(Sevapalli),23.68222,87.6875,6.56,-2.38
2020-01-09,Bihar,Purbi Champaran,Murarpur,26.60083,84.80917,2.64,0.89
2017-08-26,Odisha,Sonepur,Palsapadar,20.65222,83.65083,1.0,-3.62
2016-08-26,Kerala,Ernakulam,Kizhakombu,9.87083,76.56806,2.1,-3.95
2017-01-04,Uttar Pradesh,Jhansi,Mauranipur Rajpaharia,25.25833,79.15,9.0,2.55
2014-11-04,Telangana,Ranga Reddy,Cherlapalli 2012DW,17.45361,78.60167,11.9,0.4
2016-08-26,Kerala,Thiruvananthapuram,Poovachal,8.53528,77.08667,12.28,-0.58
2020-11-29,Kerala,Malappuram,Pandalur,11.08472,76.16667,7.01,-1.27
2014-01-04,Karnataka,Mysuru,Beeredevanapura,11.93361,76.52583,2.55,0.3
2020-01-09,Karnataka,Dharwad,Prabhunagar,15.45389,74.86667,8.1,5.17
2016-08-24,Delhi,South West,Chawla,28.54639,77.00944,13.47,-2.03
2014-01-06,Odisha,Khordha,B-09 Tankapani Road,20.24306,85.85472,3.9,0.75
2019-11-20,Tamil Nadu,Cuddalore,Maruthur2,11.49222,79.60278,49.75,41.31
2017-01-04,Gujarat,Junagadh,Juthal,21.16667,70.26667,12.33,-0.4
2019-11-28,Kerala,Thrissur,Kannara,10.54861,76.33333,5.28,2.67
2014-12-15,Kerala,Alappuzha,Mavelikara,9.25,76.5375,1.54,-1.2
2015-08-24,Punjab,Hoshiarpur,Talwara1,31.94167,75.9,11.5,-0.57
2016-11-04,Maharashtra,Beed,Umapur,19.28333,75.6,1.8,-2.0
2013-01-01,Karnataka,Kodagu,Nanjarajapatna,12.375,75.9,23.87,20.32
2018-05-24,Karnataka,Ballari,Magala,14.98333,75.8,3.71,1.0
2014-08-24,Maharashtra,Gondia,Dawwa,21.17556,80.17611,6.15,-3.8
2017-01-04,Karnataka,Mandya,Chunchanahalli,13.01667,76.73333,10.17,2.78
2014-04-16,West Bengal,Nadia,Juranpur1,23.66778,88.14722,5.92,1.52
2021-01-09,Haryana,Bhiwani,Sagban,28.87222,75.95833,2.06,-0.19
2015-06-14,West Bengal,Hooghly,Mirzapur2,22.88889,88.0425,13.61,2.31
2020-11-29,Gujarat,Narmada,Ralda,21.61,73.6525,0.85,-1.29
2013-08-24,Karnataka,Mandya,Nagamangala1,12.81667,76.75833,6.52,-1.41
2020-01-09,Uttar Pradesh,Auraiya,Sahayal,26.67917,79.63472,6.62,0.11
2017-04-16,Kerala,Thiruvananthapuram,Panavoor,8.67222,76.9875,4.5,0.22
2014-05-14,Telangana,Nalgonda,Kethepally 2013Dw,16.92028,79.92222,3.35,1.29
2022-02-10,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,8.8,-1.0
2015-08-26,Kerala,Kollam,Mynagapalli,9.04194,76.58972,7.76,-2.43
2017-11-04,Maharashtra,Satara,Bhairavnath Nagar,17.205,74.14694,5.3,0.8
2015-05-14,Tamil Nadu,Vellore,Vaniyambadi1,12.69167,78.625,7.42,1.22
2019-10-13,Tamil Nadu,Ramanathapuram,Ramanathapuram2,9.36667,78.78333,4.65,1.62
2014-11-04,Madhya Pradesh,Harda,Temagaon,22.29833,77.32056,19.38,5.98
2020-11-29,Uttar Pradesh,Sultanpur,Sathin,26.52917,81.66944,12.48,-0.85
2015-01-04,Bihar,Khagaria,Dewri,25.36278,86.71361,2.3,0.62
2014-08-24,Bihar,Bhojpur,Harnath Kundi,25.5725,84.5725,2.26,-1.71
2014-08-24,Rajasthan,Udaipur,Devgaon1,24.08333,74.03333,2.35,-4.6
2016-11-04,Andaman And Nicobar Islands,South Andamans,Light House,11.66778,92.7375,0.5,-2.13
2017-05-14,Rajasthan,Bikaner,KOLAYAT,27.84167,72.95417,73.6,-2.2
2018-08-30,Uttar Pradesh,Azamgarh,Saraimir,26.01667,82.93194,2.45,-4.9
2015-04-16,West Bengal,Birbhum,Imadpur1,23.80889,87.58472,16.33,2.37
2016-08-24,Bihar,Darbhanga,Barhi Tola,26.0225,85.87972,3.24,-2.47
