Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2017-11-04,Telangana,Karimnagar,Nerella 2010Pz,18.91806,79.03333,6.82,-0.68
2014-05-14,Punjab,Faridkot,Bead Sikhanwala- Pz,30.60833,74.86556,8.59,0.38
2020-08-24,Haryana,Kaithal,Rasulpur Ghamri-Pz,29.91417,76.26056,45.9,2.3
2013-11-06,Odisha,Gajapati,Parlakhemundi,18.77083,84.10417,1.19,-0.47
2016-08-24,Chhattisgarh,Durg,Binayakpur,21.055,81.265,1.62,-2.07
2014-01-04,Jharkhand,Giridih,Bandhutanr,24.3,86.11806,4.98,2.73
2021-01-09,Haryana,Jind,Uchana,29.46667,76.18333,20.81,-0.76
2015-01-04,Karnataka,Dakshina Kannada,Ullal-A,12.85,74.86111,3.12,1.55
2013-01-06,Kerala,Alappuzha,Haripad(c),9.2875,76.46389,9.45,1.7
2015-04-27,Jharkhand,Gumla,Raidih,22.95889,84.445,4.53,2.38
2013-04-16,Kerala,Palakkad,Thachanattukara,10.95028,76.32861,12.22,0.82
2021-01-09,Uttar Pradesh,Mahoba,Jaitpur NEW,25.25417,79.565,6.3,0.27
2015-01-05,Tripura,West Tripura,Narsinghgarh DTW,23.90333,91.25306,9.28,1.8
2017-05-14,Karnataka,Davangere,Venkateshwara Camp,14.19722,75.95694,2.07,0.74
2017-11-04,Karnataka,Bidar,Kamthana,17.86667,77.41667,10.03,-0.19
2020-11-29,Tamil Nadu,Tiruvannamalai,Vandavasi2,12.5,79.63333,2.8,-3.3
2019-05-27,Karnataka,Dakshina Kannada,Subramanya1,12.66667,75.61944,8.1,1.55
2015-02-08,Jharkhand,Gumla,Raidih,22.95889,84.445,4.53,2.38
2020-01-09,Gujarat,Rajkot,Sarvad,23.00639,70.70694,1.35,0.9
2016-11-06,Kerala,Thrissur,Wadakkanchery,10.66667,76.25,10.07,0.7
2019-08-24,Kerala,Kasaragod,Kumbadaje,12.59222,75.11806,5.52,-6.68
2017-05-14,Uttar Pradesh,Barabanki,Barabanki pz 1,26.92889,81.17222,9.0,0.92
2018-11-06,Kerala,Kozhikode,Mattanodu,11.55,75.83333,8.16,1.06
2015-05-13,Tamil Nadu,Karur,Karur2,10.95833,78.08333,4.0,-2.82
2014-05-14,Madhya Pradesh,Betul,Sasundra,21.84667,78.09194,12.33,1.79
2015-11-04,Gujarat,Kachchh,Kotaya,23.04167,69.075,11.7,3.04
2013-10-29,Madhya Pradesh,Mandsaur,Botalganj,24.14833,75.02917,0.8,-18.34
2019-01-14,West Bengal,Hooghly,Muktapur1,22.84333,87.97917,17.54,4.88
2015-01-04,Jharkhand,Ranchi,Chutupalu,23.52167,85.50389,5.76,3.14
2019-05-25,Chhattisgarh,Rajnandgaon,Maladabri,21.345,81.02944,15.0,7.61
2017-04-16,Odisha,Koraput,Chingudichuan,18.58806,82.76889,3.7,-0.05
2013-08-26,Odisha,Cuttack,Nandalagada,20.48167,86.04833,1.11,-1.42
2017-12-31,Telangana,Mahabubnagar,Kartal-PZ,16.98333,78.5,15.55,3.15
2021-01-09,West Bengal,North 24 Parganas,Jadurhati,22.74722,88.73333,4.46,-0.1
2016-03-11,Jharkhand,Gumla,Raidih,22.95889,84.445,2.15,-1.95
2017-08-24,Rajasthan,Jaipur,MANGARWARA,26.61,75.27778,2.58,-5.52
2019-05-19,Punjab,Ferozepur,Mohre Wala-Pz,30.85722,74.57806,6.89,-0.04
2019-01-16,Madhya Pradesh,Khargone (West Nimar),Bhikangaon(D),21.86306,75.95611,35.55,19.24
2015-01-20,Chhattisgarh,Bilaspur,Sipat,22.14583,82.27917,13.7,11.8
2016-11-06,Odisha,Gajapati,Zubagaon,19.32667,84.30278,3.8,0.19
2017-05-14,Bihar,Gopalganj,Jamunaha,26.5425,84.18972,3.98,-1.92
2014-05-05,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,7.25,3.15
2016-08-26,Odisha,Anugul,Balanda,20.9275,85.15778,1.95,-2.5
